checking_status,duration,credit_history,purpose,credit_amount,savings_status,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,class
0,18,3,1,5866,0,0,2,3,2,2,3,30,1,1,2,3,1,1,1,1
3,12,1,3,1264,4,3,4,3,2,4,1,57,1,2,1,2,1,0,1,1
2,12,3,5,1474,2,2,4,0,2,1,0,33,0,1,1,0,1,1,1,1
0,45,1,7,4746,2,2,4,3,2,2,0,25,1,1,2,2,1,0,1,0
3,48,1,4,6110,2,0,1,3,2,3,1,31,0,0,1,3,1,1,1,1
2,18,3,7,2100,2,0,4,3,0,2,2,37,2,1,1,3,1,0,1,0
2,10,3,0,1225,2,0,2,3,2,2,3,37,1,1,1,3,1,1,1,1
0,9,3,7,458,2,0,4,3,2,3,2,24,1,1,1,3,1,0,1,1
3,30,3,7,2333,1,3,4,3,2,2,3,30,0,1,1,0,1,0,1,1
0,12,3,7,1158,1,0,3,1,2,1,3,26,1,1,1,3,1,1,1,1
0,18,2,8,6204,2,0,2,3,2,4,2,44,1,1,1,2,2,1,1,1
1,30,1,2,6187,0,1,1,2,2,4,3,24,1,2,2,3,1,0,1,1
1,48,1,2,6143,2,3,4,0,2,4,1,58,2,0,2,2,1,0,1,0
3,11,1,1,1393,2,2,4,0,2,4,3,35,1,1,2,0,1,0,1,1
3,36,3,7,2299,1,3,4,3,2,4,3,39,1,1,1,3,1,0,1,1
1,6,3,2,1352,1,4,1,0,2,2,0,23,1,2,1,1,1,1,1,1
3,11,1,1,7228,2,0,1,3,2,4,0,39,1,1,2,2,1,0,1,1
3,12,3,7,2073,0,0,4,0,0,2,2,28,1,1,1,3,1,0,1,1
0,24,2,5,2333,4,2,4,3,2,2,0,29,0,1,1,2,1,0,1,1
0,27,2,2,5965,2,3,1,3,2,2,3,30,1,1,2,0,1,1,1,1
3,12,3,7,1262,2,0,3,3,2,2,3,25,1,1,1,3,1,0,1,1
3,18,3,2,3378,4,0,2,3,2,1,0,31,1,1,1,3,1,1,1,1
0,36,2,1,2225,2,3,4,3,2,4,1,57,0,0,2,3,1,1,1,0
3,6,0,1,783,4,0,1,3,1,2,2,26,2,1,1,2,2,0,1,1
0,12,3,7,6468,4,4,2,3,2,1,1,52,1,1,1,0,1,1,1,0
3,36,1,7,9566,2,0,2,0,2,2,3,31,2,1,2,3,1,0,1,1
2,18,3,1,1961,2,3,3,0,2,2,3,23,1,1,1,0,1,0,1,1
1,36,1,5,6229,2,2,4,0,0,4,1,23,1,2,2,2,1,1,1,0
0,9,3,3,1391,2,0,2,2,2,1,2,27,0,1,1,3,1,1,1,1
0,15,1,7,1537,4,3,4,3,1,4,2,50,1,1,2,3,1,1,1,1
0,36,4,3,1953,2,3,4,3,2,4,1,61,1,0,1,0,1,1,1,0
0,48,4,3,14421,2,0,2,3,2,2,3,25,1,1,1,3,1,1,1,0
3,24,3,7,3181,2,2,4,0,2,4,0,26,1,1,1,3,1,1,1,1
3,27,3,8,5190,4,3,4,3,2,4,0,48,1,1,4,3,2,1,1,1
3,12,3,7,2171,2,2,2,0,2,2,3,29,0,1,1,3,1,0,1,1
0,12,3,1,1007,3,0,4,2,2,1,2,22,1,1,1,3,1,0,1,1
3,36,3,4,1819,2,0,4,3,2,4,1,37,2,0,1,3,1,1,1,0
3,36,3,7,2394,4,0,4,0,2,4,3,25,1,1,1,3,1,0,1,1
3,36,3,2,8133,2,0,1,0,2,2,0,30,0,1,1,3,1,0,1,1
3,7,1,7,730,4,3,4,3,2,2,0,46,1,2,2,2,1,1,1,1
1,8,1,6,1164,2,3,3,3,2,4,1,51,0,0,2,0,2,1,1,1
0,42,1,3,5954,2,1,2,0,2,1,2,41,0,1,2,2,1,0,1,1
1,36,3,4,1977,4,3,4,3,2,4,1,40,1,1,1,0,1,1,1,0
1,12,1,2,1526,2,3,4,3,2,4,1,66,1,0,2,0,1,0,1,1
1,42,3,7,3965,2,2,4,3,2,3,3,34,1,1,1,3,1,0,1,0
0,11,2,7,4771,2,1,2,3,2,4,0,51,1,1,1,3,1,0,1,1
3,54,4,2,9436,4,0,2,3,2,2,0,39,1,1,1,2,2,0,1,1
0,30,3,5,3832,2,2,2,2,2,1,0,22,1,1,1,3,1,0,1,1
3,24,3,7,5943,4,2,1,0,2,1,3,44,1,1,2,3,1,1,1,0
3,15,3,7,1213,1,3,4,3,2,3,0,47,2,1,1,3,1,1,1,1
3,18,3,3,1568,0,0,3,0,2,4,0,24,1,2,1,2,1,0,1,1
1,24,3,6,1755,2,3,4,0,1,4,2,58,1,1,1,2,1,1,1,1
1,10,3,7,2315,2,3,3,3,2,4,2,52,1,1,1,2,1,0,1,1
3,12,1,3,1412,2,0,4,0,1,2,2,29,1,1,2,0,1,1,1,1
0,18,1,5,1295,2,2,4,0,2,1,0,27,1,1,2,3,1,0,1,1
0,36,3,4,12612,0,0,1,3,2,4,1,47,1,0,1,3,2,1,1,0
1,18,3,1,2249,0,1,4,3,2,3,3,30,1,1,1,0,2,1,1,1
1,12,4,8,1108,2,1,4,3,2,3,2,28,1,1,2,3,1,0,1,0
3,12,1,7,618,2,3,4,3,2,4,2,56,1,1,1,3,1,0,1,1
1,12,1,2,1409,2,3,4,3,2,3,2,54,1,1,1,3,1,0,1,1
3,12,1,7,797,4,3,4,0,2,3,0,33,0,1,1,2,2,0,1,0
2,24,1,5,3617,4,3,4,3,0,4,1,20,1,2,2,3,1,0,1,1
0,12,3,1,1318,3,3,4,3,2,4,2,54,1,1,1,3,1,1,1,1
0,54,4,3,15945,2,2,3,3,2,4,1,58,1,2,1,3,1,1,1,0
3,12,1,4,2012,4,1,4,0,2,2,3,61,1,1,1,3,1,0,1,1
0,18,3,3,2622,0,0,4,3,2,4,3,34,1,1,1,3,1,0,1,1
0,36,1,7,2337,2,3,4,3,2,4,2,36,1,1,1,3,1,0,1,1
0,20,2,2,7057,4,1,3,3,2,4,0,36,0,2,2,0,2,1,1,1
3,24,3,1,1469,0,3,4,2,2,4,2,41,1,2,1,2,1,0,1,1
0,36,3,7,2323,2,1,4,3,2,4,3,24,1,2,1,3,1,0,1,1
3,6,2,7,932,2,0,3,0,2,2,2,24,1,1,1,3,1,0,1,1
0,9,1,5,1919,2,1,4,3,2,3,3,35,1,2,1,3,1,1,1,1
3,12,3,2,2445,4,2,2,2,2,4,3,26,1,2,1,3,1,1,1,1
0,24,1,6,11938,2,0,2,3,0,3,3,39,1,1,2,0,2,1,1,0
3,18,0,1,6458,2,3,2,3,2,4,1,39,0,1,2,0,2,1,1,0
0,12,3,1,6078,2,1,2,3,2,2,3,32,1,1,1,3,1,0,1,1
1,24,3,5,7721,4,2,1,0,2,2,0,30,1,1,1,3,1,1,0,1
0,14,3,3,1410,1,3,1,2,2,2,2,35,1,1,1,3,1,1,1,1
0,6,2,3,1449,0,3,1,1,2,2,3,31,0,1,2,3,2,0,1,1
2,15,3,4,392,2,2,4,0,2,4,0,23,1,2,1,3,1,1,1,1
0,18,3,1,6260,2,1,3,3,2,3,2,28,1,2,1,2,1,0,1,1
3,36,1,1,7855,2,0,4,0,2,2,2,25,2,1,2,3,1,1,1,0
1,12,3,7,1680,1,3,3,2,2,1,2,35,1,1,1,3,1,0,1,1
3,48,1,7,3578,4,3,4,3,2,1,2,47,1,1,1,3,1,1,1,1
1,42,3,7,7174,4,1,4,0,2,3,3,30,1,1,1,0,1,1,1,0
1,10,1,5,2132,4,2,2,0,0,3,2,27,1,2,2,3,1,0,0,1
1,33,1,5,4281,1,0,1,0,2,4,3,23,1,1,2,3,1,0,1,0
0,12,1,1,2366,1,1,3,1,2,3,3,36,1,1,1,0,1,1,1,1
1,21,3,7,1835,2,0,3,0,2,2,2,25,1,1,2,3,1,1,1,0
3,24,1,2,3868,2,3,4,0,2,2,3,41,1,2,2,0,1,1,1,1
3,12,3,5,1768,2,0,3,3,2,2,2,24,1,2,1,2,1,0,1,1
2,10,1,1,781,2,3,4,3,2,4,1,63,1,0,2,3,1,1,1,1
0,18,3,5,1924,4,2,4,0,2,3,2,27,1,2,1,3,1,0,1,0
1,12,1,1,2121,2,0,4,3,2,2,0,30,1,1,2,3,1,0,1,1
1,12,3,7,701,2,0,4,2,2,2,2,40,1,1,1,2,1,0,1,1
0,12,3,8,639,2,0,4,3,2,2,3,30,1,1,1,3,1,0,1,0
0,12,1,2,1860,2,4,4,3,2,2,3,34,1,1,2,0,1,1,1,1
1,12,1,1,3499,2,0,3,0,0,2,2,29,1,1,2,3,1,0,1,0
0,48,3,1,8487,4,1,1,0,2,2,3,24,1,1,1,3,1,0,1,1
1,36,2,4,6887,2,0,4,3,2,3,0,29,2,1,1,3,1,1,1,0
3,15,3,5,2708,2,2,2,3,2,3,0,27,0,1,2,2,1,0,1,1
3,18,3,5,1984,2,0,4,3,2,4,1,47,0,0,2,3,1,0,1,1
3,60,3,7,10144,0,1,2,0,2,4,2,21,1,1,1,3,1,1,1,1
3,12,1,7,1240,4,3,4,0,2,2,2,38,1,1,2,3,1,1,1,1
3,27,2,2,8613,3,0,2,3,2,2,3,27,1,1,2,3,1,0,1,1
0,12,3,7,766,1,0,4,3,2,3,2,66,1,1,1,2,1,0,1,0
0,15,1,7,2728,4,1,4,3,1,2,2,35,0,1,3,3,1,1,1,1
2,12,3,7,1881,2,0,2,0,2,2,3,44,1,2,1,2,1,1,1,1
2,6,3,1,709,3,2,2,2,2,2,2,27,1,1,1,1,1,0,0,1
0,36,3,7,4795,2,2,4,0,2,1,1,30,1,1,1,0,1,1,1,1
1,27,3,7,3416,2,0,3,3,2,2,3,27,1,1,1,0,1,0,1,1
1,18,3,5,2462,2,0,2,3,2,2,3,22,1,1,1,3,1,0,1,0
3,21,1,5,2288,2,2,4,0,2,4,0,23,1,1,1,3,1,1,1,1
0,48,0,3,3566,0,1,4,3,2,2,3,30,1,1,1,3,1,0,1,1
1,6,1,1,860,2,3,1,0,2,4,1,39,1,1,2,3,1,1,1,1
3,12,1,1,682,0,1,4,0,2,3,3,51,1,1,2,3,1,1,1,1
1,36,1,5,5371,2,0,3,3,1,2,0,28,1,1,2,3,1,0,1,1
3,18,1,7,1582,3,3,4,3,2,4,3,46,1,1,2,3,1,0,1,1
3,6,3,7,1346,0,3,2,3,2,4,1,42,0,0,1,3,2,1,1,1
3,10,3,7,1924,2,0,1,3,2,4,0,38,1,1,1,3,1,1,0,1
2,36,3,7,5848,2,0,4,3,2,1,3,24,1,1,1,3,1,0,1,1
0,24,1,2,7758,3,3,2,0,2,4,1,29,1,2,1,3,1,0,1,1
0,24,2,3,6967,0,1,4,3,2,4,3,36,1,2,1,0,1,1,1,1
1,12,3,5,1282,2,0,2,0,2,4,3,20,1,2,1,3,1,0,1,0
1,9,1,8,1288,0,3,3,3,1,4,2,48,1,1,2,3,2,0,0,1
1,12,0,9,339,2,3,4,2,2,1,3,45,0,1,1,2,1,0,1,1
0,24,3,1,3512,0,1,2,3,2,3,3,38,0,1,2,3,1,1,1,1
3,6,1,7,1898,4,0,1,3,2,2,2,34,1,1,2,2,2,0,1,1
3,24,1,7,2872,0,3,3,3,2,4,2,36,1,1,1,3,2,1,1,1
3,18,1,1,1055,2,2,4,0,2,1,0,30,1,1,2,3,1,0,1,1
3,15,3,0,1262,1,1,4,3,2,3,0,36,1,1,2,3,1,1,1,1
0,10,3,1,7308,2,4,2,3,2,4,1,70,0,0,1,0,1,1,1,1
3,36,3,1,909,1,3,4,3,2,4,0,36,1,1,1,3,1,0,1,1
3,6,3,5,2978,1,0,1,3,2,2,3,32,1,1,1,3,1,1,1,1
1,18,3,5,1131,2,4,4,0,2,2,3,33,1,1,1,3,1,0,1,0
0,11,3,5,1577,3,2,4,0,2,1,2,20,1,1,1,3,1,0,1,1
3,24,3,5,3972,2,1,2,0,2,4,0,25,1,2,1,3,1,1,1,1
0,24,1,3,1935,2,3,4,1,2,4,2,31,1,1,2,3,1,1,1,0
1,15,4,1,950,2,3,4,3,2,3,3,33,1,2,2,3,2,0,1,0
3,12,3,5,763,2,0,4,0,2,1,2,26,1,1,1,3,1,1,1,1
0,24,2,5,2064,2,4,3,0,2,2,0,34,1,1,1,0,1,1,1,0
0,8,3,7,1414,2,0,4,3,1,2,2,33,1,1,1,3,1,0,0,1
1,21,2,4,3414,2,2,2,3,2,1,0,26,1,1,2,3,1,0,1,0
3,30,0,2,7485,4,4,4,0,2,1,2,53,0,1,1,0,1,1,1,0
1,12,3,5,2577,2,0,2,1,2,1,3,42,1,1,1,3,1,0,1,1
1,6,1,7,338,1,3,4,3,2,4,3,52,1,1,2,3,1,0,1,1
3,12,3,7,1963,2,1,4,3,2,2,3,31,1,2,2,0,2,1,1,1
1,21,1,1,571,2,3,4,3,2,4,2,65,1,1,2,3,1,0,1,1
3,36,2,3,9572,2,2,1,1,2,1,3,28,1,1,2,3,1,0,1,0
0,36,2,3,4455,2,0,2,1,2,2,2,30,2,1,2,0,1,1,1,0
1,21,0,1,1647,4,0,4,3,2,2,0,40,1,1,2,2,2,0,1,0
3,24,1,5,3777,3,0,4,3,2,4,2,50,1,1,1,3,1,1,1,1
0,18,1,1,884,2,3,4,3,2,4,3,36,0,1,1,3,2,1,1,0
3,15,1,7,1360,2,0,4,3,2,2,0,31,1,1,2,3,1,0,1,1
0,9,0,2,5129,2,3,2,0,2,4,1,74,0,0,1,0,2,1,1,0
0,16,1,1,1175,2,4,2,3,2,3,3,68,1,0,3,1,1,1,1,1
1,12,3,7,674,0,1,4,2,2,1,0,20,1,1,1,3,1,0,1,0
0,18,4,5,3244,2,0,1,0,2,4,3,33,0,1,2,3,1,1,1,1
3,24,3,3,4591,3,0,2,3,2,3,0,54,1,1,3,0,1,1,1,0
0,48,4,3,3844,0,1,4,3,2,4,1,34,1,0,1,2,2,0,1,0
0,27,3,3,3915,2,0,4,3,2,2,3,36,1,1,1,3,2,1,1,0
3,6,3,7,2108,2,1,2,2,2,2,2,29,1,2,1,3,1,0,1,1
0,45,3,7,3031,0,0,4,3,1,4,0,21,1,2,1,3,1,0,1,0
0,9,1,4,1501,2,3,2,0,2,3,3,34,1,1,2,0,1,1,1,0
3,6,1,7,1382,2,0,1,0,2,1,3,28,1,1,2,3,1,1,1,1
0,12,3,5,951,0,2,4,0,2,4,3,27,0,2,4,3,1,0,1,0
0,24,3,2,2760,4,3,4,3,2,4,1,36,0,0,1,3,1,1,1,1
0,18,2,5,4297,2,3,4,1,2,3,1,40,1,1,1,0,1,1,1,0
3,9,1,4,936,1,3,4,3,2,2,3,52,1,1,2,3,1,1,1,1
1,12,3,1,1168,2,0,4,2,2,3,2,27,1,1,1,2,1,0,1,1
3,27,2,3,5117,2,1,3,3,2,4,3,26,1,1,2,3,1,0,1,1
1,12,3,9,902,2,1,4,2,2,4,0,21,1,2,1,3,1,0,1,0
3,12,1,1,1495,2,3,4,3,2,1,2,38,1,1,2,2,2,0,1,1
1,30,1,2,10623,2,3,3,3,2,4,1,38,1,0,3,0,2,1,1,1
3,12,1,5,1935,2,3,4,3,2,4,2,43,1,1,3,3,1,1,1,1
0,12,1,0,1424,2,1,4,3,2,3,0,26,1,1,1,3,1,0,1,1
1,24,3,3,6568,2,0,2,2,2,2,3,21,2,1,1,2,1,0,1,1
3,12,3,2,1413,3,1,3,3,2,2,0,55,1,1,1,3,1,0,0,1
3,9,1,7,3074,4,0,1,3,2,2,2,33,1,1,2,3,2,0,1,1
3,36,3,7,3835,4,3,2,0,2,4,2,45,1,1,1,2,1,1,1,1
1,27,4,3,5293,2,4,2,3,2,4,0,50,2,1,2,3,1,1,1,0
2,30,2,3,1908,2,3,4,3,2,4,2,66,1,1,1,0,1,1,1,0
3,36,1,7,3342,4,3,4,3,2,2,3,51,1,1,1,3,1,1,1,1
0,6,1,9,932,4,1,1,0,2,3,0,39,1,1,2,2,1,0,1,1
1,18,4,3,3104,2,1,3,3,2,1,0,31,0,1,1,3,1,1,1,1
2,36,3,7,3913,2,0,2,3,2,2,2,23,1,1,1,3,1,1,1,1
1,24,3,5,3021,2,0,2,1,2,2,2,24,1,2,1,2,1,0,1,1
3,10,3,1,1364,2,0,2,0,2,4,3,64,1,1,1,3,1,1,1,1
0,12,3,7,625,2,2,4,2,1,1,2,26,0,1,1,2,1,0,1,1
1,12,3,4,1200,4,0,4,0,2,4,0,23,0,2,1,3,1,1,1,1
3,12,3,7,707,2,0,4,3,2,2,2,30,0,1,2,3,1,0,1,1
3,24,2,3,2978,4,0,4,3,2,4,2,32,1,1,2,3,2,1,1,1
3,15,3,2,4657,2,0,3,3,2,2,3,30,1,1,1,3,1,1,1,1
3,36,4,8,2613,2,0,4,3,2,2,3,27,1,1,2,3,1,0,1,1
0,48,3,7,10961,3,1,1,3,0,2,1,27,0,1,2,3,1,1,1,0
1,12,3,5,7865,2,3,4,3,2,4,1,53,1,0,1,0,1,1,1,0
3,9,3,7,1478,2,1,4,3,2,2,3,22,1,1,1,3,1,0,1,0
1,24,3,5,3149,2,2,4,3,2,1,1,22,0,0,1,3,1,0,1,1
2,36,3,7,4210,2,0,4,3,2,2,3,26,1,1,1,3,1,0,1,0
3,9,3,1,2507,1,3,2,3,2,4,1,51,1,0,1,2,1,0,1,1
3,12,3,7,2141,0,1,3,3,2,1,1,35,1,1,1,3,1,0,1,1
0,18,3,7,866,2,0,4,2,1,2,2,25,1,1,1,2,1,0,1,1
3,4,1,7,1544,2,1,2,3,2,1,2,42,1,1,3,2,2,0,1,1
1,24,3,7,1823,2,4,4,3,2,2,3,30,2,1,1,0,2,0,1,0
0,6,3,1,14555,4,4,1,3,2,2,0,23,1,1,1,1,1,1,1,0
0,21,3,3,2767,0,3,4,1,2,2,3,61,0,2,2,2,1,0,1,0
3,12,1,7,1291,2,0,4,0,2,2,0,35,1,1,2,3,1,0,1,1
1,30,3,7,2522,2,3,1,3,1,3,0,39,1,1,1,3,2,0,1,1
1,24,3,1,915,4,3,4,0,2,2,3,29,0,1,1,3,1,0,1,0
3,6,3,7,1595,2,1,3,3,2,2,0,51,1,1,1,3,2,0,1,1
1,48,4,2,4605,2,3,3,3,2,4,1,24,1,0,2,3,2,0,1,0
3,12,1,3,1185,2,0,3,0,2,2,2,27,1,1,2,3,1,0,1,1
3,12,0,9,3447,1,0,4,0,2,3,2,35,1,1,1,2,2,0,1,1
3,24,3,3,1258,2,1,4,3,2,1,2,25,1,1,1,3,1,1,1,1
3,12,1,7,717,2,3,4,3,2,4,2,52,1,1,3,3,1,0,1,1
3,6,4,1,1204,0,0,4,3,2,1,1,35,0,2,1,3,1,0,0,1
2,24,3,5,1925,2,0,2,3,2,2,2,26,1,1,1,3,1,0,1,1
3,18,3,7,433,2,4,3,0,0,4,2,22,1,2,1,3,1,0,1,0
1,6,1,1,666,3,1,3,0,2,4,2,39,1,1,2,2,1,1,1,1
2,12,3,5,2251,2,0,1,0,2,2,3,46,1,1,1,2,1,0,1,1
0,30,3,1,2150,2,0,4,0,1,2,1,24,0,1,1,3,1,0,1,0
3,24,2,5,4151,0,0,2,3,2,3,0,35,1,1,2,3,1,0,1,1
0,9,3,5,2030,4,1,2,3,2,1,3,24,1,1,1,3,1,1,1,1
0,60,2,7,7418,4,0,1,3,2,1,2,27,1,1,1,2,1,0,1,1
3,24,1,7,2684,2,0,4,3,2,2,2,35,1,1,2,2,1,0,1,1
1,12,0,7,2149,2,0,4,1,2,1,1,29,1,0,1,3,1,0,1,0
3,15,3,2,3812,0,2,1,0,2,4,3,23,1,1,1,3,1,1,1,1
3,11,1,7,1154,0,4,4,0,2,4,2,57,1,1,3,2,1,0,1,1
1,12,3,5,1657,2,0,2,3,2,2,2,27,1,1,1,3,1,0,1,1
1,24,3,7,1603,2,3,4,0,2,4,3,55,1,1,1,3,1,0,1,1
1,18,1,1,5302,2,3,2,3,2,4,1,36,1,0,3,0,1,1,1,1
3,12,1,4,2748,2,3,2,0,2,4,1,57,0,0,3,2,1,0,1,1
3,10,1,1,1231,2,3,3,3,2,4,2,32,1,1,2,2,2,0,0,1
0,15,3,7,802,2,3,4,3,2,3,3,37,1,1,1,3,2,0,1,0
3,36,1,3,6304,4,3,4,3,2,4,2,36,1,1,2,3,1,0,1,1
3,24,3,7,1533,2,2,4,0,2,3,3,38,2,1,1,3,1,1,1,1
1,14,3,1,8978,2,3,1,1,2,4,0,45,1,1,1,0,1,1,0,0
3,24,3,7,999,4,3,4,3,2,2,3,25,1,1,2,3,1,0,1,1
3,18,3,1,2662,4,1,4,3,2,3,0,32,1,1,1,3,1,0,0,1
3,12,1,5,1402,1,1,3,0,2,4,3,37,1,2,1,3,1,1,1,1
0,48,0,1,12169,4,4,4,3,0,4,1,36,1,0,1,0,1,1,1,1
0,48,3,7,3060,2,1,4,3,2,4,2,28,1,1,2,3,1,0,1,0
1,30,3,8,11998,2,2,1,1,2,1,1,34,1,1,1,2,1,1,1,0
3,9,3,7,2697,2,0,1,3,2,2,2,32,1,1,1,3,2,0,1,1
3,18,1,7,2404,2,0,2,0,2,2,3,26,1,1,2,3,1,0,1,1
1,12,3,5,1262,4,3,2,1,2,4,0,49,1,1,1,2,1,1,1,1
3,6,3,5,4611,2,2,1,0,2,4,0,32,1,1,1,3,1,0,1,0
3,24,3,7,1901,0,0,4,3,2,4,3,29,1,2,1,0,1,1,1,1
3,15,1,2,3368,3,3,3,3,2,4,1,23,1,2,2,3,1,1,1,1
3,12,3,5,1574,2,0,4,3,2,2,2,50,1,1,1,3,1,0,1,1
2,18,0,7,1445,4,1,4,3,2,4,3,49,0,1,1,2,1,0,1,1
3,15,1,5,1520,4,3,4,3,2,4,0,63,1,1,1,3,1,0,1,1
0,24,1,1,3878,0,2,4,1,2,2,3,37,1,1,1,3,1,1,1,1
1,47,3,1,10722,2,2,1,0,2,1,2,35,1,1,1,2,1,1,1,1
1,48,3,2,4788,2,1,4,3,2,3,0,26,1,1,1,3,2,0,1,1
0,48,2,6,7582,0,4,2,3,2,4,1,31,1,0,1,0,1,1,1,1
0,12,3,7,1092,2,0,4,0,1,4,2,49,1,1,2,3,1,1,1,1
1,24,2,7,1024,2,2,4,2,2,4,2,48,2,1,1,3,1,0,1,0
3,12,3,3,1076,2,0,2,2,2,2,2,26,1,1,1,3,1,1,0,1
0,36,3,2,9398,2,2,1,2,2,4,3,28,1,2,1,0,1,1,1,0
1,24,1,2,6419,2,3,2,0,2,4,1,44,1,0,2,0,2,1,1,1
2,42,1,2,4796,2,3,4,3,2,4,1,56,1,0,1,3,1,0,1,1
3,48,1,3,7629,4,3,4,1,2,2,3,46,0,1,2,0,2,0,1,1
0,48,3,5,9960,2,2,1,0,2,2,3,26,1,1,1,3,1,1,1,0
3,12,3,2,4675,4,2,1,0,2,4,3,20,1,2,1,3,1,0,1,1
3,10,3,1,1287,4,3,4,3,0,2,0,45,1,1,1,2,1,0,0,1
3,18,3,5,2515,2,0,3,3,2,4,2,43,1,1,1,3,1,1,1,1
0,21,1,5,2745,3,1,3,3,2,2,3,32,1,1,2,3,1,1,1,1
3,6,3,1,672,2,4,1,0,2,4,2,54,1,1,1,1,1,1,1,1
0,36,4,7,3804,2,0,4,0,2,1,3,42,1,1,1,3,1,1,1,0
2,24,1,1,1344,4,1,4,3,2,2,2,37,0,1,2,2,2,0,1,0
1,10,1,1,1038,2,1,4,3,0,3,0,49,1,1,2,3,1,1,1,1
3,48,1,1,10127,1,0,2,3,2,2,1,44,0,0,1,3,1,0,1,0
3,6,3,5,1543,3,0,4,1,2,2,2,33,1,1,1,3,1,0,1,1
3,30,3,2,4811,4,1,2,0,2,4,0,24,2,2,1,2,1,0,1,1
1,12,3,7,727,0,2,4,2,2,3,1,33,1,1,1,2,1,1,1,0
0,8,3,5,1237,2,0,3,0,2,4,2,24,1,1,1,3,1,0,1,0
0,9,3,1,276,2,0,4,2,2,4,2,22,1,2,1,2,1,0,1,1
0,48,3,6,5381,4,4,3,3,2,4,1,40,0,0,1,1,1,1,1,1
3,24,3,5,5511,0,0,4,3,2,1,3,25,2,1,1,3,1,0,1,1
2,24,3,5,3749,2,2,2,0,2,4,3,26,1,1,1,3,1,0,1,1
0,12,3,1,685,2,1,2,2,2,3,3,25,0,1,1,2,1,0,1,0
2,4,3,1,1494,4,2,1,3,2,2,2,29,1,1,1,2,2,0,0,1
1,36,0,5,2746,2,3,4,3,2,4,3,31,0,1,1,3,1,0,1,0
1,12,3,5,708,2,0,2,3,1,3,0,38,1,1,1,2,2,0,1,1
0,24,3,5,4351,4,0,1,0,2,4,0,48,1,1,1,2,1,1,1,1
3,12,1,4,701,2,0,4,3,2,2,3,32,1,1,2,3,1,0,1,1
1,15,2,5,3643,2,3,1,0,2,4,0,27,1,1,2,2,1,0,1,1
0,30,1,1,4249,2,4,4,2,2,2,3,28,1,1,2,0,1,0,1,0
