,RM,LSTAT,PTRATIO,cluster_ids
126,5.6129999999999995,27.26,19.1,2
127,5.693,17.19,21.2,2
128,6.431,15.39,21.2,2
129,5.6370000000000005,18.34,21.2,2
130,6.457999999999999,12.6,21.2,2
131,6.3260000000000005,12.26,21.2,2
132,6.372000000000001,11.12,21.2,3
133,5.822,15.03,21.2,2
134,5.757000000000001,17.31,21.2,2
135,6.335,16.96,21.2,2
136,5.942,16.9,21.2,2
137,6.454,14.59,21.2,2
138,5.857,21.32,21.2,2
139,6.151,18.46,21.2,2
140,6.1739999999999995,24.16,21.2,2
141,5.019,34.41,21.2,2
142,5.403,26.82,14.7,2
143,5.468,26.42,14.7,2
144,4.9030000000000005,29.29,14.7,2
145,6.13,27.8,14.7,2
146,5.627999999999999,16.65,14.7,2
147,4.926,29.53,14.7,2
148,5.186,28.32,14.7,2
149,5.597,21.45,14.7,2
150,6.122000000000001,14.1,14.7,2
151,5.404,13.28,14.7,2
152,5.012,12.12,14.7,2
153,5.709,15.79,14.7,2
154,6.129,15.12,14.7,2
155,6.152,15.02,14.7,2
156,5.272,16.14,14.7,2
157,6.943,4.59,14.7,1
158,6.066,6.43,14.7,1
159,6.51,7.39,14.7,1
160,6.25,5.5,14.7,1
161,5.854,11.64,14.7,2
162,6.101,9.81,14.7,3
163,5.877000000000001,12.14,14.7,2
164,6.319,11.1,14.7,2
165,6.402,11.32,14.7,2
166,5.875,14.43,14.7,2
167,5.88,12.03,14.7,2
168,5.572,14.69,16.6,2
169,6.416,9.04,16.6,3
170,5.859,9.64,16.6,3
171,6.546,5.33,16.6,1
172,6.02,10.11,16.6,3
173,6.315,6.29,16.6,1
174,6.86,6.92,16.6,1
175,6.98,5.04,17.8,1
176,7.765,7.56,17.8,3
177,6.144,9.45,17.8,3
178,7.155,4.82,17.8,1
179,6.563,5.68,17.8,1
180,5.604,13.98,17.8,2
181,6.153,13.15,17.8,2
182,6.782,6.68,15.2,1
183,6.556,4.56,15.2,1
184,7.185,5.39,15.2,1
185,6.9510000000000005,5.1,15.2,1
186,6.739,4.69,15.2,1
187,7.178,2.87,15.2,1
188,6.8,5.03,15.6,1
189,6.604,4.38,15.6,1
190,7.287000000000001,4.08,12.6,1
191,7.107,8.61,12.6,1
192,7.274,6.62,12.6,1
193,6.975,4.56,17.0,1
194,7.135,4.45,17.0,1
195,6.162000000000001,7.43,14.7,1
196,7.61,3.11,14.7,1
197,7.853,3.81,14.7,1
